timestamp,satellite_id,sequence_number,temperature,battery,signal_strength,latitude,longitude,packet_hash,signature
2026-08-20T00:00:00Z,SAT-EO-01,1,22.67,88.97,-66.48,0.0,-180.0,,
2026-08-20T00:00:05Z,SAT-EO-01,2,23.06,89.12,-66.19,0.39,-179.9754,,
2026-08-20T00:00:11Z,SAT-EO-01,3,22.4,89.23,-67.37,0.7909,-179.9502,,
2026-08-20T00:00:17Z,SAT-EO-01,4,22.43,88.48,-66.24,1.1838,-179.9254,,
2026-08-20T00:00:23Z,SAT-EO-01,5,22.26,89.26,-67.73,1.5764,-179.9007,,
2026-08-20T00:00:29Z,SAT-EO-01,6,22.15,89.07,-66.53,1.9722,-179.8757,,
2026-08-20T00:00:35Z,SAT-EO-01,7,22.49,89.3,-67.93,2.3691,-179.8507,,
2026-08-20T00:00:41Z,SAT-EO-01,8,22.84,89.17,-66.25,2.7569,-179.8263,,
2026-08-20T00:00:47Z,SAT-EO-01,9,22.53,89.83,-67.03,3.1453,-179.8018,,
2026-08-20T00:00:53Z,SAT-EO-01,10,22.39,89.35,-66.71,3.5323,-179.7773,,
2026-08-20T00:00:59Z,SAT-EO-01,11,22.87,88.97,-68.09,3.9316,-179.7521,,
2026-08-20T00:01:05Z,SAT-EO-01,12,22.89,89.56,-66.33,4.3368,-179.7266,,
2026-08-20T00:01:11Z,SAT-EO-01,13,22.82,89.48,-68.22,4.7408,-179.701,,
2026-08-20T00:01:17Z,SAT-EO-01,14,22.63,89.26,-67.75,5.1428,-179.6756,,
2026-08-20T00:01:23Z,SAT-EO-01,15,23.03,89.55,-67.59,5.5389,-179.6506,,
2026-08-20T00:01:29Z,SAT-EO-01,16,23.16,89.84,-66.35,5.9241,-179.6262,,
2026-08-20T00:01:35Z,SAT-EO-01,17,22.68,89.66,-66.8,6.3234,-179.6009,,
2026-08-20T00:01:41Z,SAT-EO-01,18,23.35,89.74,-67.4,6.7146,-179.5761,,
2026-08-20T00:01:47Z,SAT-EO-01,19,23.32,90.17,-67.14,7.1053,-179.5513,,
2026-08-20T00:01:53Z,SAT-EO-01,20,23.41,90.12,-66.46,7.4917,-179.5268,,
2026-08-20T00:01:59Z,SAT-EO-01,21,23.08,90.31,-69.2,7.8865,-179.5017,,
2026-08-20T00:02:05Z,SAT-EO-01,22,23.41,89.61,-66.28,8.2704,-179.4773,,
2026-08-20T00:02:11Z,SAT-EO-01,23,23.07,90.1,-65.94,8.6634,-179.4523,,
2026-08-20T00:02:17Z,SAT-EO-01,24,23.0,90.0,-67.48,9.0505,-179.4276,,
2026-08-20T00:02:23Z,SAT-EO-01,25,23.53,90.18,-67.57,9.436,-179.4031,,
2026-08-20T00:02:29Z,SAT-EO-01,26,23.42,90.49,-67.02,9.8354,-179.3776,,
2026-08-20T00:02:35Z,SAT-EO-01,27,23.02,90.11,-67.49,10.2344,-179.3521,,
2026-08-20T00:02:41Z,SAT-EO-01,28,22.79,89.58,-66.91,10.6314,-179.3267,,
2026-08-20T00:02:47Z,SAT-EO-01,29,23.21,90.08,-67.33,11.0163,-179.302,,
2026-08-20T00:02:53Z,SAT-EO-01,30,23.5,90.09,-66.09,11.4065,-179.277,,
2026-08-20T00:02:59Z,SAT-EO-01,31,22.71,90.37,-67.18,11.805,-179.2514,,
2026-08-20T00:03:05Z,SAT-EO-01,32,24.28,90.54,-67.45,12.1851,-179.227,,
2026-08-20T00:03:11Z,SAT-EO-01,33,23.43,90.17,-66.35,12.5683,-179.2023,,
2026-08-20T00:03:17Z,SAT-EO-01,34,23.73,90.31,-66.17,12.951,-179.1776,,
2026-08-20T00:03:23Z,SAT-EO-01,35,23.71,91.1,-68.09,13.3407,-179.1525,,
2026-08-20T00:03:29Z,SAT-EO-01,36,23.33,91.03,-66.61,13.7185,-179.128,,
2026-08-20T00:03:35Z,SAT-EO-01,37,23.01,90.66,-68.18,14.0952,-179.1036,,
2026-08-20T00:03:41Z,SAT-EO-01,38,23.75,90.84,-67.48,14.4843,-179.0784,,
2026-08-20T00:03:47Z,SAT-EO-01,39,23.34,90.65,-66.72,14.8621,-179.0539,,
2026-08-20T00:03:53Z,SAT-EO-01,40,23.21,91.12,-65.36,15.2523,-179.0285,,
2026-08-20T00:03:59Z,SAT-EO-01,41,23.76,91.02,-68.4,15.6308,-179.0038,,
2026-08-20T00:04:05Z,SAT-EO-01,42,23.24,91.02,-66.45,16.0179,-178.9785,,
2026-08-20T00:04:11Z,SAT-EO-01,43,23.83,90.73,-65.96,16.3921,-178.954,,
2026-08-20T00:04:17Z,SAT-EO-01,44,23.92,91.14,-68.23,16.7763,-178.9288,,
2026-08-20T00:04:23Z,SAT-EO-01,45,24.19,90.8,-66.72,17.152,-178.9042,,
2026-08-20T00:04:29Z,SAT-EO-01,46,23.96,90.83,-67.4,17.5349,-178.879,,
2026-08-20T00:04:35Z,SAT-EO-01,47,23.53,90.89,-67.6,17.9115,-178.8541,,
2026-08-20T00:04:41Z,SAT-EO-01,48,23.99,91.44,-67.13,18.2972,-178.8286,,
2026-08-20T00:04:47Z,SAT-EO-01,49,23.81,91.86,-67.08,18.6748,-178.8036,,
2026-08-20T00:04:53Z,SAT-EO-01,50,23.63,91.23,-67.71,19.0474,-178.7789,,
2026-08-20T00:04:58Z,SAT-EO-01,51,23.88,91.44,-67.25,19.4172,-178.7543,,
2026-08-20T00:05:05Z,SAT-EO-01,52,23.96,91.2,-67.03,19.801,-178.7287,,
2026-08-20T00:05:11Z,SAT-EO-01,53,23.86,91.57,-67.51,20.173,-178.7039,,
2026-08-20T00:05:17Z,SAT-EO-01,54,23.61,91.56,-66.29,20.5544,-178.6783,,
2026-08-20T00:05:23Z,SAT-EO-01,55,24.09,91.15,-67.44,20.9193,-178.6538,,
2026-08-20T00:05:29Z,SAT-EO-01,56,24.29,91.24,-66.65,21.2944,-178.6286,,
2026-08-20T00:05:35Z,SAT-EO-01,57,24.3,91.66,-67.37,21.6611,-178.6038,,
2026-08-20T00:05:41Z,SAT-EO-01,58,25.5,91.9,-67.02,22.0362,-178.5785,,
2026-08-20T00:05:47Z,SAT-EO-01,59,24.07,91.8,-68.46,22.4103,-178.5531,,
2026-08-20T00:05:53Z,SAT-EO-01,60,24.13,91.65,-68.29,22.7793,-178.528,,
2026-08-20T00:05:59Z,SAT-EO-01,61,24.48,91.3,-68.27,23.1467,-178.503,,
2026-08-20T00:06:05Z,SAT-EO-01,62,24.64,92.13,-67.82,23.5055,-178.4784,,
